WYPADEK_ID,PLEC,MIASTO,MIESIAC,PRZYCZYNA
93,Mezczyzna ,Lublin,7,Niedostosowanie predkosci do warunków na drodze.
94,Kobieta   ,Bialystok,12,Nieudzielenie pierwszenstwa przejazdu.
95,Kobieta   ,Opole,6,Nieudzielenie pierwszenstwa przejazdu.
96,Kobieta   ,Wroclaw,8,Nieprawidlowe wyprzedzanie.
97,Mezczyzna ,Lódz,6,Nieprawidlowe zachowanie sie wobec pieszego.
98,Mezczyzna ,Bialystok,3,Nieprawidlowe wyprzedzanie.
99,Kobieta   ,Wroclaw,10,Nieprawidlowe zachowanie sie wobec pieszego.
100,Mezczyzna ,Bydgoszcz,12,Nieprawidlowe zachowanie sie wobec pieszego.
101,Kobieta   ,Rzeszów,1,Nieprawidlowe wyprzedzanie.
102,Mezczyzna ,Szczecin,5,Nieprawidlowe wyprzedzanie.
103,Kobieta   ,Lublin,4,Nieprawidlowe zachowanie sie wobec pieszego.
104,Mezczyzna ,Kielce,10,Nieprawidlowe wyprzedzanie.
105,Kobieta   ,Kielce,6,Nieudzielenie pierwszenstwa przejazdu.
106,Kobieta   ,Rzeszów,1,Jazda po niewlasciwej stronie drogi.
107,Mezczyzna ,Lódz,5,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
108,Kobieta   ,Lublin,7,Nieprawidlowe wyprzedzanie.
109,Mezczyzna ,Bydgoszcz,4,Niedostosowanie predkosci do warunków na drodze.
110,Mezczyzna ,Kielce,10,Jazda po niewlasciwej stronie drogi.
111,Kobieta   ,Kielce,11,Nieprawidlowe zachowanie sie wobec pieszego.
112,Kobieta   ,Szczecin,1,Nieprawidlowe wyprzedzanie.
113,Kobieta   ,Opole,11,Nieprawidlowe zachowanie sie wobec pieszego.
114,Mezczyzna ,Poznan,8,Nieudzielenie pierwszenstwa przejazdu.
115,Kobieta   ,Lódz,6,Nieprawidlowe zachowanie sie wobec pieszego.
116,Mezczyzna ,Torun,1,Nieprawidlowe zachowanie sie wobec pieszego.
117,Kobieta   ,Lublin,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
118,Kobieta   ,Wroclaw,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
119,Mezczyzna ,Katowice,9,Niedostosowanie predkosci do warunków na drodze.
120,Mezczyzna ,Poznan,9,Nieprawidlowe zachowanie sie wobec pieszego.
121,Kobieta   ,Rzeszów,2,Niedostosowanie predkosci do warunków na drodze.
122,Kobieta   ,Szczecin,5,Niedostosowanie predkosci do warunków na drodze.
123,Mezczyzna ,Torun,3,Jazda po niewlasciwej stronie drogi.
124,Mezczyzna ,Warszawa,7,Nieprawidlowe zachowanie sie wobec pieszego.
125,Kobieta   ,Wroclaw,4,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
126,Kobieta   ,Lublin,9,Niedostosowanie predkosci do warunków na drodze.
127,Kobieta   ,Gorzów Wielkopolski,12,Nieudzielenie pierwszenstwa przejazdu.
128,Mezczyzna ,Lublin,8,Jazda po niewlasciwej stronie drogi.
129,Mezczyzna ,Warszawa,11,Nieprawidlowe zachowanie sie wobec pieszego.
130,Kobieta   ,Katowice,4,Nieprawidlowe wyprzedzanie.
131,Kobieta   ,Torun,5,Nieudzielenie pierwszenstwa przejazdu.
132,Mezczyzna ,Gorzów Wielkopolski,1,Nieprawidlowe zachowanie sie wobec pieszego.
133,Kobieta   ,Kielce,5,Nieprawidlowe wyprzedzanie.
134,Mezczyzna ,Lublin,6,Nieprawidlowe wyprzedzanie.
135,Mezczyzna ,Lublin,2,Nieudzielenie pierwszenstwa przejazdu.
136,Kobieta   ,Szczecin,3,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
137,Kobieta   ,Rzeszów,3,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
138,Mezczyzna ,Katowice,12,Nieprawidlowe zachowanie sie wobec pieszego.
139,Kobieta   ,Wroclaw,3,Nieprawidlowe wyprzedzanie.
140,Kobieta   ,Kielce,7,Nieprawidlowe zachowanie sie wobec pieszego.
141,Mezczyzna ,Olsztyn,10,Nieudzielenie pierwszenstwa przejazdu.
142,Kobieta   ,Lódz,7,Jazda po niewlasciwej stronie drogi.
143,Kobieta   ,Warszawa,12,Jazda po niewlasciwej stronie drogi.
144,Kobieta   ,Lódz,8,Nieprawidlowe zachowanie sie wobec pieszego.
145,Mezczyzna ,Katowice,7,Nieudzielenie pierwszenstwa przejazdu.
146,Mezczyzna ,Kielce,11,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
147,Kobieta   ,Bialystok,3,Nieprawidlowe zachowanie sie wobec pieszego.
148,Kobieta   ,Poznan,2,Nieprawidlowe zachowanie sie wobec pieszego.
149,Kobieta   ,Opole,11,Nieprawidlowe zachowanie sie wobec pieszego.
150,Kobieta   ,Rzeszów,1,Niedostosowanie predkosci do warunków na drodze.
151,Mezczyzna ,Katowice,8,Nieprawidlowe zachowanie sie wobec pieszego.
152,Mezczyzna ,Bydgoszcz,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
153,Kobieta   ,Bydgoszcz,10,Nieprawidlowe wyprzedzanie.
154,Mezczyzna ,Warszawa,1,Jazda po niewlasciwej stronie drogi.
155,Mezczyzna ,Opole,10,Niedostosowanie predkosci do warunków na drodze.
156,Kobieta   ,Bialystok,11,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
157,Kobieta   ,Katowice,10,Nieprawidlowe wyprzedzanie.
158,Kobieta   ,Lódz,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
159,Mezczyzna ,Szczecin,5,Nieprawidlowe zachowanie sie wobec pieszego.
160,Mezczyzna ,Katowice,6,Niedostosowanie predkosci do warunków na drodze.
161,Kobieta   ,Rzeszów,10,Nieudzielenie pierwszenstwa przejazdu.
162,Mezczyzna ,Szczecin,8,Niedostosowanie predkosci do warunków na drodze.
163,Mezczyzna ,Gorzów Wielkopolski,12,Niedostosowanie predkosci do warunków na drodze.
164,Kobieta   ,Lublin,9,Nieprawidlowe wyprzedzanie.
165,Kobieta   ,Poznan,12,Nieudzielenie pierwszenstwa przejazdu.
166,Mezczyzna ,Gorzów Wielkopolski,6,Nieudzielenie pierwszenstwa przejazdu.
167,Kobieta   ,Wroclaw,7,Nieprawidlowe zachowanie sie wobec pieszego.
168,Mezczyzna ,Szczecin,8,Niedostosowanie predkosci do warunków na drodze.
169,Kobieta   ,Szczecin,2,Nieudzielenie pierwszenstwa przejazdu.
170,Kobieta   ,Rzeszów,2,Nieudzielenie pierwszenstwa przejazdu.
171,Mezczyzna ,Bialystok,10,Jazda po niewlasciwej stronie drogi.
172,Mezczyzna ,Warszawa,1,Jazda po niewlasciwej stronie drogi.
173,Kobieta   ,Gdansk,2,Nieprawidlowe zachowanie sie wobec pieszego.
174,Mezczyzna ,Torun,1,Niedostosowanie predkosci do warunków na drodze.
175,Mezczyzna ,Warszawa,5,Niedostosowanie predkosci do warunków na drodze.
176,Kobieta   ,Warszawa,7,Nieudzielenie pierwszenstwa przejazdu.
177,Mezczyzna ,Szczecin,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
178,Kobieta   ,Lódz,10,Nieudzielenie pierwszenstwa przejazdu.
179,Kobieta   ,Szczecin,2,Nieudzielenie pierwszenstwa przejazdu.
180,Mezczyzna ,Kielce,4,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
181,Kobieta   ,Lódz,8,Nieprawidlowe zachowanie sie wobec pieszego.
182,Kobieta   ,Olsztyn,8,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
183,Mezczyzna ,Bialystok,8,Jazda po niewlasciwej stronie drogi.
184,Mezczyzna ,Rzeszów,11,Nieudzielenie pierwszenstwa przejazdu.
185,Mezczyzna ,Olsztyn,12,Nieprawidlowe zachowanie sie wobec pieszego.
186,Kobieta   ,Kielce,6,Jazda po niewlasciwej stronie drogi.
187,Mezczyzna ,Warszawa,1,Niedostosowanie predkosci do warunków na drodze.
188,Mezczyzna ,Szczecin,12,Jazda po niewlasciwej stronie drogi.
189,Mezczyzna ,Gdansk,10,Nieprawidlowe zachowanie sie wobec pieszego.
190,Kobieta   ,Katowice,12,Nieprawidlowe zachowanie sie wobec pieszego.
191,Kobieta   ,Wroclaw,2,Jazda po niewlasciwej stronie drogi.
192,Kobieta   ,Gorzów Wielkopolski,2,Nieudzielenie pierwszenstwa przejazdu.
193,Kobieta   ,Torun,5,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
194,Kobieta   ,Gorzów Wielkopolski,7,Niedostosowanie predkosci do warunków na drodze.
195,Mezczyzna ,Bydgoszcz,4,Nieudzielenie pierwszenstwa przejazdu.
196,Kobieta   ,Poznan,6,Nieprawidlowe zachowanie sie wobec pieszego.
197,Mezczyzna ,Torun,10,Jazda po niewlasciwej stronie drogi.
198,Kobieta   ,Opole,1,Nieprawidlowe wyprzedzanie.
199,Kobieta   ,Wroclaw,3,Jazda po niewlasciwej stronie drogi.
200,Mezczyzna ,Gdansk,12,Nieprawidlowe wyprzedzanie.
201,Mezczyzna ,Warszawa,9,Jazda po niewlasciwej stronie drogi.
202,Kobieta   ,Kielce,2,Nieprawidlowe zachowanie sie wobec pieszego.
203,Mezczyzna ,Bialystok,4,Nieudzielenie pierwszenstwa przejazdu.
204,Mezczyzna ,Katowice,11,Nieudzielenie pierwszenstwa przejazdu.
205,Kobieta   ,Poznan,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
206,Kobieta   ,Katowice,8,Nieprawidlowe zachowanie sie wobec pieszego.
207,Kobieta   ,Szczecin,11,Nieprawidlowe zachowanie sie wobec pieszego.
208,Kobieta   ,Warszawa,6,Niedostosowanie predkosci do warunków na drodze.
209,Mezczyzna ,Poznan,10,Jazda po niewlasciwej stronie drogi.
210,Kobieta   ,Lublin,9,Nieprawidlowe wyprzedzanie.
211,Kobieta   ,Poznan,10,Nieprawidlowe wyprzedzanie.
212,Mezczyzna ,Opole,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
213,Kobieta   ,Lódz,5,Nieprawidlowe wyprzedzanie.
214,Mezczyzna ,Wroclaw,10,Nieprawidlowe wyprzedzanie.
215,Mezczyzna ,Olsztyn,10,Nieprawidlowe wyprzedzanie.
216,Mezczyzna ,Bialystok,4,Jazda po niewlasciwej stronie drogi.
217,Mezczyzna ,Torun,7,Nieudzielenie pierwszenstwa przejazdu.
218,Kobieta   ,Olsztyn,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
219,Kobieta   ,Katowice,3,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
220,Mezczyzna ,Warszawa,11,Jazda po niewlasciwej stronie drogi.
221,Mezczyzna ,Katowice,5,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
222,Mezczyzna ,Torun,7,Nieprawidlowe wyprzedzanie.
223,Mezczyzna ,Bialystok,10,Nieudzielenie pierwszenstwa przejazdu.
224,Kobieta   ,Olsztyn,6,Nieprawidlowe zachowanie sie wobec pieszego.
225,Kobieta   ,Olsztyn,4,Nieprawidlowe zachowanie sie wobec pieszego.
226,Mezczyzna ,Olsztyn,10,Jazda po niewlasciwej stronie drogi.
227,Kobieta   ,Lódz,10,Nieudzielenie pierwszenstwa przejazdu.
228,Kobieta   ,Opole,1,Niedostosowanie predkosci do warunków na drodze.
229,Mezczyzna ,Bydgoszcz,1,Niedostosowanie predkosci do warunków na drodze.
230,Mezczyzna ,Wroclaw,11,Jazda po niewlasciwej stronie drogi.
231,Mezczyzna ,Opole,3,Nieprawidlowe zachowanie sie wobec pieszego.
232,Mezczyzna ,Lódz,10,Niedostosowanie predkosci do warunków na drodze.
233,Kobieta   ,Szczecin,8,Nieudzielenie pierwszenstwa przejazdu.
234,Kobieta   ,Lublin,5,Nieprawidlowe wyprzedzanie.
235,Mezczyzna ,Poznan,7,Nieprawidlowe wyprzedzanie.
236,Mezczyzna ,Bialystok,12,Nieudzielenie pierwszenstwa przejazdu.
237,Mezczyzna ,Katowice,2,Niedostosowanie predkosci do warunków na drodze.
238,Kobieta   ,Torun,12,Nieprawidlowe wyprzedzanie.
239,Mezczyzna ,Opole,11,Nieudzielenie pierwszenstwa przejazdu.
240,Mezczyzna ,Katowice,8,Nieprawidlowe wyprzedzanie.
241,Mezczyzna ,Bydgoszcz,9,Jazda po niewlasciwej stronie drogi.
242,Kobieta   ,Wroclaw,10,Nieudzielenie pierwszenstwa przejazdu.
243,Kobieta   ,Wroclaw,10,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
244,Kobieta   ,Katowice,9,Nieudzielenie pierwszenstwa przejazdu.
245,Mezczyzna ,Lódz,7,Nieprawidlowe wyprzedzanie.
246,Mezczyzna ,Lódz,1,Nieprawidlowe wyprzedzanie.
247,Kobieta   ,Lódz,4,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
248,Mezczyzna ,Gdansk,1,Niedostosowanie predkosci do warunków na drodze.
249,Kobieta   ,Lódz,11,Nieprawidlowe wyprzedzanie.
250,Mezczyzna ,Kielce,4,Nieudzielenie pierwszenstwa przejazdu.
251,Kobieta   ,Gdansk,11,Nieprawidlowe zachowanie sie wobec pieszego.
252,Mezczyzna ,Bialystok,1,Jazda po niewlasciwej stronie drogi.
253,Kobieta   ,Gorzów Wielkopolski,6,Jazda po niewlasciwej stronie drogi.
254,Kobieta   ,Opole,12,Nieudzielenie pierwszenstwa przejazdu.
255,Mezczyzna ,Olsztyn,10,Nieprawidlowe wyprzedzanie.
256,Kobieta   ,Gdansk,8,Jazda po niewlasciwej stronie drogi.
257,Kobieta   ,Bialystok,3,Jazda po niewlasciwej stronie drogi.
258,Mezczyzna ,Olsztyn,11,Nieudzielenie pierwszenstwa przejazdu.
259,Mezczyzna ,Wroclaw,8,Jazda po niewlasciwej stronie drogi.
260,Kobieta   ,Gorzów Wielkopolski,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
261,Mezczyzna ,Bydgoszcz,8,Nieudzielenie pierwszenstwa przejazdu.
262,Mezczyzna ,Gorzów Wielkopolski,5,Niedostosowanie predkosci do warunków na drodze.
263,Kobieta   ,Wroclaw,1,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
264,Mezczyzna ,Lódz,1,Nieprawidlowe zachowanie sie wobec pieszego.
265,Kobieta   ,Bialystok,12,Nieprawidlowe zachowanie sie wobec pieszego.
266,Mezczyzna ,Wroclaw,10,Nieprawidlowe wyprzedzanie.
267,Mezczyzna ,Wroclaw,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
268,Kobieta   ,Warszawa,5,Nieprawidlowe wyprzedzanie.
269,Mezczyzna ,Bialystok,6,Nieudzielenie pierwszenstwa przejazdu.
270,Mezczyzna ,Warszawa,8,Niedostosowanie predkosci do warunków na drodze.
271,Kobieta   ,Bialystok,1,Nieprawidlowe wyprzedzanie.
272,Mezczyzna ,Wroclaw,9,Nieprawidlowe wyprzedzanie.
273,Kobieta   ,Lódz,5,Nieprawidlowe wyprzedzanie.
274,Mezczyzna ,Katowice,1,Niedostosowanie predkosci do warunków na drodze.
275,Kobieta   ,Lublin,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
276,Mezczyzna ,Wroclaw,5,Niedostosowanie predkosci do warunków na drodze.
277,Mezczyzna ,Szczecin,3,Niedostosowanie predkosci do warunków na drodze.
278,Kobieta   ,Opole,4,Jazda po niewlasciwej stronie drogi.
279,Kobieta   ,Gorzów Wielkopolski,6,Niedostosowanie predkosci do warunków na drodze.
280,Mezczyzna ,Warszawa,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
281,Kobieta   ,Lublin,7,Niedostosowanie predkosci do warunków na drodze.
282,Mezczyzna ,Rzeszów,7,Nieudzielenie pierwszenstwa przejazdu.
283,Kobieta   ,Kielce,8,Niedostosowanie predkosci do warunków na drodze.
284,Kobieta   ,Bydgoszcz,11,Nieprawidlowe wyprzedzanie.
285,Mezczyzna ,Torun,8,Niedostosowanie predkosci do warunków na drodze.
286,Mezczyzna ,Szczecin,12,Nieudzielenie pierwszenstwa przejazdu.
287,Mezczyzna ,Gorzów Wielkopolski,6,Nieprawidlowe wyprzedzanie.
288,Kobieta   ,Olsztyn,1,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
289,Kobieta   ,Kielce,12,Nieprawidlowe wyprzedzanie.
290,Kobieta   ,Warszawa,5,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
291,Mezczyzna ,Opole,9,Nieudzielenie pierwszenstwa przejazdu.
292,Mezczyzna ,Lódz,3,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
293,Kobieta   ,Poznan,8,Jazda po niewlasciwej stronie drogi.
294,Kobieta   ,Torun,6,Nieprawidlowe wyprzedzanie.
295,Kobieta   ,Gorzów Wielkopolski,10,Nieprawidlowe zachowanie sie wobec pieszego.
296,Kobieta   ,Bydgoszcz,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
297,Kobieta   ,Olsztyn,6,Jazda po niewlasciwej stronie drogi.
298,Mezczyzna ,Torun,3,Nieudzielenie pierwszenstwa przejazdu.
299,Mezczyzna ,Warszawa,9,Nieudzielenie pierwszenstwa przejazdu.
300,Mezczyzna ,Kielce,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
301,Kobieta   ,Gdansk,1,Nieudzielenie pierwszenstwa przejazdu.
302,Mezczyzna ,Gorzów Wielkopolski,7,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
303,Kobieta   ,Opole,6,Niedostosowanie predkosci do warunków na drodze.
304,Kobieta   ,Rzeszów,4,Nieprawidlowe wyprzedzanie.
305,Mezczyzna ,Gorzów Wielkopolski,7,Niedostosowanie predkosci do warunków na drodze.
306,Kobieta   ,Wroclaw,2,Niedostosowanie predkosci do warunków na drodze.
307,Mezczyzna ,Lódz,1,Nieudzielenie pierwszenstwa przejazdu.
308,Mezczyzna ,Gorzów Wielkopolski,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
309,Mezczyzna ,Kielce,9,Jazda po niewlasciwej stronie drogi.
310,Mezczyzna ,Olsztyn,9,Nieprawidlowe zachowanie sie wobec pieszego.
311,Mezczyzna ,Warszawa,6,Jazda po niewlasciwej stronie drogi.
312,Kobieta   ,Poznan,5,Nieudzielenie pierwszenstwa przejazdu.
313,Kobieta   ,Bydgoszcz,10,Jazda po niewlasciwej stronie drogi.
314,Kobieta   ,Szczecin,3,Nieudzielenie pierwszenstwa przejazdu.
315,Kobieta   ,Rzeszów,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
316,Mezczyzna ,Katowice,10,Jazda po niewlasciwej stronie drogi.
317,Kobieta   ,Kielce,1,Nieudzielenie pierwszenstwa przejazdu.
318,Mezczyzna ,Torun,10,Niedostosowanie predkosci do warunków na drodze.
319,Kobieta   ,Lódz,3,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
320,Mezczyzna ,Kielce,3,Nieprawidlowe zachowanie sie wobec pieszego.
321,Mezczyzna ,Torun,9,Nieudzielenie pierwszenstwa przejazdu.
322,Kobieta   ,Poznan,8,Nieprawidlowe zachowanie sie wobec pieszego.
323,Kobieta   ,Gdansk,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
324,Mezczyzna ,Torun,7,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
325,Kobieta   ,Olsztyn,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
326,Mezczyzna ,Gdansk,10,Niedostosowanie predkosci do warunków na drodze.
327,Kobieta   ,Poznan,5,Nieudzielenie pierwszenstwa przejazdu.
328,Kobieta   ,Gdansk,9,Nieprawidlowe wyprzedzanie.
329,Kobieta   ,Bialystok,11,Nieprawidlowe zachowanie sie wobec pieszego.
330,Kobieta   ,Poznan,7,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
